# psi iota logL logPrior
3.956879971021327047e-01 1.596074391668490966e+00 6.547712909172715978e-01 -1.838196590721701051e+00
1.985078797218564839e+00 1.578307351269100600e+00 7.799294894850676840e-01 -1.837905274418901058e+00
4.071369491448437739e-01 1.571211519316944027e+00 1.761250730120010211e+00 -1.837877152601763209e+00
4.131825254501375611e-01 1.607261114078331277e+00 2.360351669255413398e+00 -1.838542054154989058e+00
4.295607668708173454e-01 1.595626228983266781e+00 3.478292629227591526e+00 -1.838185360111054045e+00
1.973997735348530957e+00 1.613841045736473578e+00 3.653399111446214320e+00 -1.838803776552248026e+00
1.983376291153754467e+00 1.563805564689319194e+00 3.759522152701950226e+00 -1.837901501985785835e+00
2.003218372603748687e+00 1.606073111669496845e+00 5.203477298061900846e+00 -1.838499421282705271e+00
4.184062024212888975e-01 1.628847480270747106e+00 7.751926061982482352e+00 -1.839562981843235079e+00
4.248147005947364163e-01 1.549196768396621016e+00 8.230410846427023586e+00 -1.838110355011472130e+00
1.935030934730434193e+00 1.573146169167698671e+00 8.432723970701363925e+00 -1.837879827291474921e+00
3.609875185230122518e-01 1.568083024046415863e+00 9.670232192674458105e+00 -1.837880747419764482e+00
4.398783602032521056e-01 1.625840927343437325e+00 9.781766138075122186e+00 -1.839392786081378794e+00
3.584413304680109658e-01 1.608842829346578851e+00 1.014292795892577459e+01 -1.838601009268443942e+00
2.028866494069347048e+00 1.606881029709244624e+00 1.099759677956681436e+01 -1.838528260640589274e+00
3.515785757390463284e-01 1.576349038469101682e+00 1.121684269760640618e+01 -1.837892482792035320e+00
4.340277809088620153e-01 1.540331737631960296e+00 1.124780245380190635e+01 -1.838341183802986833e+00
3.820450924801942483e-01 1.537289504249778060e+00 1.150874135516972530e+01 -1.838438525058618822e+00
1.943918603847485826e+00 1.635999888947236247e+00 1.159384631193014492e+01 -1.840004326652166400e+00
1.923322555440521331e+00 1.612710785149136905e+00 1.185925792129513567e+01 -1.838755734641378536e+00
1.971713213852526847e+00 1.649190223418927292e+00 1.234176556512879586e+01 -1.840953020460647682e+00
1.967546086603999544e+00 1.526540848891546620e+00 1.302975083842700244e+01 -1.838856659897591506e+00
2.011247204760425511e+00 1.642202669650019153e+00 1.304455308193021601e+01 -1.840428668795755396e+00
1.920908492994609418e+00 1.621882934262542042e+00 1.341839097545233628e+01 -1.839182555142003572e+00
1.954163723907651917e+00 1.650735810619011534e+00 1.365214627757583443e+01 -1.841075635773636199e+00
3.662871225481310056e-01 1.642978707821581841e+00 1.395698233924221654e+01 -1.840484479888366609e+00
4.286660187518262499e-01 1.525846376451350128e+00 1.396715836685158507e+01 -1.838887655811727750e+00
2.001852400252818853e+00 1.651873884042600382e+00 1.409670242711278654e+01 -1.841167458864480411e+00
1.976403307474374982e+00 1.657784980511928019e+00 1.438286814392437307e+01 -1.841665360654585637e+00
4.749702997213034461e-01 1.599330599938210584e+00 1.458356548073801129e+01 -1.838284224037365355e+00
1.923107629214320990e+00 1.543157249901417005e+00 1.488522473804418311e+01 -1.838259074335981680e+00
1.935690386059191859e+00 1.647790633828639217e+00 1.510730059029169325e+01 -1.840844061258887443e+00
